nquest,idade1,faixa etária,sexo,cor,REGIAO,RCLASSE2,estcivil,renda,escola,nfilhos,p52aa,p55,p56,p66,p64g,p64h,rendacat,escolacat,p64b,p64gn,p64hn,p52aan,p55n,p56n,perfil,perfil binário
192963673,20,16-24,Masculino,Outras,Nordeste,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,1,3,apostador,1
192967196,48,45-59,Masculino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental II completo,1,0,Sim,Sites de noticias,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,3,5,5,1,0,1,3,apostador,1
192967724,54,45-59,Feminino,Branca,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Ensino Médio incompleto,3,0,Nao,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,9,4,5,4,4,0,2,0,apostador,1
192969677,29,25-34,Masculino,Parda,Nordeste,B2,Separado/Divorciado,"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,2,5,5,5,5,0,2,0,apostador,1
192970503,30,25-34,Masculino,Preta,Sudeste,C1,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,2,Instagram,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,3,5,5,4,5,2,0,0,apostador,1
192970728,33,25-34,Masculino,Parda,Norte,C2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Sim,Aplicativos de corretoras e investimentos (do banco/ bancos digitais),Frequentemente,Discorda Em Parte,Discorda Totalmente,1,5,5,2,1,0,1,2,apostador,1
192974647,35,35-44,Masculino,Branca,Nordeste,B2,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Superior incompleto,3,Portal / site,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,3,6,4,5,5,5,0,0,apostador,1
192981816,36,35-44,Feminino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,WhatsApp,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,5,5,5,5,3,0,0,apostador,1
193015131,28,25-34,Masculino,Amarela,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,Instagram,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,9,2,5,5,1,2,0,0,apostador,1
193015337,22,16-24,Masculino,Preta,Nordeste,C1,Solteiro (a),"Até R$ 1.320,00",Analfabeto/ Fundamental I incompleto,4,Youtube,0,0,Frequentemente,Concorda Em Parte,Concorda Totalmente,9,1,5,4,5,1,0,0,apostador,1
193016753,26,25-34,Masculino,Outras,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,5,1,1,2,0,0,apostador,1
193017417,42,35-44,Masculino,Branca,Nordeste,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Em Parte,2,5,5,1,2,0,2,0,apostador,1
193024273,18,16-24,Masculino,Preta,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Instagram,0,0,Frequentemente,Discorda Em Parte,Discorda Totalmente,9,4,2,2,1,2,0,0,apostador,1
193025911,32,25-34,Masculino,Preta,Nordeste,B2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,0,WhatsApp,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,4,1,1,3,0,0,apostador,1
193025995,37,35-44,Masculino,Branca,Sudeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,3,Youtube,0,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,2,5,5,4,4,1,0,0,apostador,1
193030578,25,25-34,Feminino,Amarela,Nordeste,C1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Instagram,0,0,Frequentemente,Concorda Em Parte,Discorda Em Parte,9,5,4,4,2,2,0,0,apostador,1
193033410,25,25-34,Feminino,Parda,Sudeste,C2,Solteiro (a),"Até R$ 1.320,00",Superior incompleto,0,0,Sim,Amigos/ Parentes,Frequentemente,Concorda Em Parte,Discorda Totalmente,9,6,5,4,1,0,1,6,apostador,1
193036065,19,16-24,Masculino,Preta,Sudeste,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Em Parte,Discorda Totalmente,1,5,4,2,1,1,0,0,apostador,1
193039763,18,16-24,Masculino,Preta,Norte,A,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,Instagram,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,5,1,1,2,0,0,apostador,1
193039765,36,35-44,Masculino,Parda,Norte,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Superior incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,6,4,1,1,0,2,0,apostador,1
193041117,18,16-24,Feminino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Discorda Totalmente,9,4,5,1,1,0,1,12,apostador,1
193044754,42,35-44,Masculino,Parda,Nordeste,D/E,Viuvo(a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Sim,Amigos/ Parentes,Frequentemente,Discorda Em Parte,Discorda Totalmente,9,5,5,2,1,0,1,6,apostador,1
193045891,32,25-34,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,2,5,5,5,5,0,2,0,apostador,1
193069436,22,16-24,Masculino,Outras,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,2,1,1,0,2,0,apostador,1
193070975,17,16-24,Masculino,Parda,Nordeste,C1,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio incompleto,0,Youtube,0,0,Frequentemente,Concorda Em Parte,Discorda Totalmente,9,4,5,4,1,1,0,0,apostador,1
193070991,52,45-59,Masculino,Parda,Sudeste,D/E,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Fundamental I completo/ Fundamental II incompleto,2,Televisao,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,2,5,1,1,8,0,0,apostador,1
193071359,73,60+,Masculino,Amarela,Nordeste,C1,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,2,WhatsApp,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,5,1,1,3,0,0,apostador,1
193071553,30,25-34,Feminino,Preta,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,2,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,2,1,5,5,0,2,0,apostador,1
193072717,28,25-34,Masculino,Parda,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Concorda Totalmente,9,5,5,1,5,0,1,12,apostador,1
193073570,18,16-24,Masculino,Parda,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,4,5,1,1,0,2,0,apostador,1
193074991,25,25-34,Masculino,Amarela,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,2,Youtube,0,0,Frequentemente,Discorda Em Parte,Concorda Totalmente,9,5,5,2,5,1,0,0,apostador,1
193075106,31,25-34,Masculino,Parda,Nordeste,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,5,5,1,1,0,2,0,apostador,1
193075352,24,16-24,Feminino,Branca,Sudeste,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,WhatsApp,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,1,5,5,5,5,3,0,0,apostador,1
193076795,21,16-24,Feminino,Parda,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,1,0,Sim,Cursos/ cursos online/ palestras/ na faculdade/ escola/ professor,Frequentemente,Concorda Totalmente,Discorda Totalmente,3,5,1,5,1,0,1,10,apostador,1
193078483,21,16-24,Feminino,Branca,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,1,Instagram,0,0,Frequentemente,Discorda Em Parte,Concorda Totalmente,2,5,4,2,5,2,0,0,apostador,1
193079433,18,16-24,Masculino,Branca,Sudeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,4,1,1,1,0,0,0,apostador,1
193081225,47,45-59,Feminino,Parda,Nordeste,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Fundamental I completo/ Fundamental II incompleto,9,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,2,5,5,5,0,2,0,apostador,1
193081575,19,16-24,Masculino,Branca,Sul,B1,Solteiro (a),"Até R$ 1.320,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,9,4,5,5,5,0,2,0,apostador,1
193081910,27,25-34,Masculino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 6.601,00 Até R$ 13.200,00",Ensino Médio completo,1,0,Sim,Amigos/ Parentes,Frequentemente,Discorda Totalmente,Concorda Totalmente,4,5,5,1,5,0,1,6,apostador,1
193083067,45,45-59,Masculino,Preta,Nordeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Nao,0,Frequentemente,Concorda Em Parte,Discorda Totalmente,9,5,5,4,1,0,2,0,apostador,1
193084655,36,35-44,Feminino,Preta,Norte,D/E,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio incompleto,1,0,Nao,0,Frequentemente,Discorda Em Parte,Concorda Totalmente,9,4,5,2,5,0,2,0,apostador,1
193085187,25,25-34,Masculino,Outras,Nordeste,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,2,Instagram,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,2,5,5,5,1,2,0,0,apostador,1
193086972,20,16-24,Masculino,Parda,Sudeste,B1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,1,0,0,apostador,1
193087415,39,35-44,Masculino,Parda,Nordeste,D/E,Solteiro (a),"Até R$ 1.320,00",Fundamental II completo,1,Youtube,0,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,9,3,5,4,4,1,0,0,apostador,1
193088832,35,35-44,Masculino,Preta,Sudeste,C2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,5,1,1,1,0,0,apostador,1
193088841,23,16-24,Masculino,Parda,Nordeste,D/E,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,1,0,Sim,"Internet/ Google/ Redes Sociais (Facebook, Instagram)/ YouTube",Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,1,12,apostador,1
193089137,33,25-34,Feminino,Branca,Sul,D/E,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,3,Nenhum,0,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,2,5,5,5,5,96,0,0,apostador,1
193089196,27,25-34,Feminino,Branca,Nordeste,C1,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Superior incompleto,1,WhatsApp,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,1,6,5,1,5,3,0,0,apostador,1
193089335,36,35-44,Feminino,Preta,Sudeste,B2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,1,Youtube,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,9,5,5,1,1,1,0,0,apostador,1
193089929,32,25-34,Masculino,Preta,Nordeste,B2,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,Youtube,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,9,5,5,1,5,1,0,0,apostador,1
193091429,36,35-44,Masculino,Parda,Nordeste,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,0,Instagram,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,2,4,1,5,1,2,0,0,apostador,1
193092243,21,16-24,Masculino,Indigena,Nordeste,A,Solteiro (a),"Até R$ 1.320,00",Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,Concorda Em Parte,Concorda Totalmente,9,5,4,4,5,0,1,3,apostador,1
193094534,32,25-34,Masculino,Parda,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio completo,2,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,5,5,1,5,0,2,0,apostador,1
193094751,54,45-59,Masculino,Branca,Norte,B2,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Pós-graduação,2,0,Sim,"Presencialmente, ou seja, falando com o gerente ou com o assessor/ especialista de investimento. (presencialmente na age",Frequentemente,Concorda Em Parte,Concorda Em Parte,2,8,5,4,4,0,1,1,apostador,1
193095006,36,35-44,Masculino,Preta,Sudeste,C2,Casado(a)/com companheiro(a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,2,0,Nao,0,Frequentemente,Concorda Totalmente,Concorda Totalmente,1,5,5,5,5,0,2,0,apostador,1
193096153,36,35-44,Masculino,Parda,Sudeste,B2,Casado(a)/com companheiro(a),"Até R$ 1.320,00",Ensino Médio completo,1,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,9,5,5,1,5,0,2,0,apostador,1
193097258,49,45-59,Masculino,Parda,Nordeste,C1,Casado(a)/com companheiro(a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,2,Youtube,0,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,4,5,1,5,1,0,0,apostador,1
193097646,57,45-59,Masculino,Parda,Sudeste,D/E,Solteiro (a),"De R$ 13.201,00 Até R$ 26.400,00",Fundamental I completo/ Fundamental II incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,5,2,4,1,1,0,2,0,apostador,1
193098279,25,25-34,Masculino,Branca,Sul,B2,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,0,0,Sim,Amigos/ Parentes,Frequentemente,Concorda Totalmente,Discorda Totalmente,1,5,2,5,1,0,1,6,apostador,1
193099078,39,35-44,Feminino,Branca,Sudeste,C1,Solteiro (a),"De R$ 1.321,00 Até R$ 2.640,00",Ensino Médio completo,3,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,1,5,5,1,1,0,2,0,apostador,1
193100786,19,16-24,Masculino,Parda,Nordeste,A,Solteiro (a),"De R$ 13.201,00 Até R$ 26.400,00",Ensino Médio incompleto,0,Instagram,0,0,Frequentemente,Concorda Em Parte,Concorda Em Parte,5,4,5,4,4,2,0,0,apostador,1
193101323,29,25-34,Masculino,Outras,Nordeste,C2,Solteiro (a),Não sabe,Ensino Médio incompleto,1,0,Nao,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,99,4,5,1,1,0,2,0,apostador,1
193101923,31,25-34,Masculino,Parda,Sul,C1,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Superior incompleto,0,Televisao,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,2,6,5,1,1,8,0,0,apostador,1
193103679,23,16-24,Masculino,Indigena,Norte,C1,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Superior incompleto,0,WhatsApp,0,0,Frequentemente,Discorda Totalmente,Discorda Totalmente,3,6,4,1,1,3,0,0,apostador,1
193104174,21,16-24,Masculino,Preta,Norte,D/E,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,0,0,Nao,0,Frequentemente,Discorda Totalmente,Concorda Totalmente,2,4,5,1,5,0,2,0,apostador,1
193107013,34,25-34,Feminino,Preta,Nordeste,B2,Solteiro (a),"De R$ 2.640,00 Até R$ 3.960,00",Ensino Médio incompleto,1,E-mail,0,0,Frequentemente,Concorda Totalmente,Discorda Totalmente,2,4,5,5,1,9,0,0,apostador,1
193107468,33,25-34,Masculino,Preta,Norte,B1,Solteiro (a),"De R$ 3.961,00 Até R$ 6.600,00",Ensino Médio completo,0,0,Sim,Sites de noticias,Frequentemente,Discorda Totalmente,Concorda Em Parte,3,5,4,1,4,0,1,3,apostador,1
