Ordem segundo o IDH;Bairro ou grupo de bairros;Esperança de vida ao nascer (em anos);Taxa de alfabetização de adultos (%);Taxa bruta de frequência escolar (%);Renda per capita (em R$ de 2000);Índice de Longevidade (IDH-L);Índice de Educação (IDH-E);Índice de Renda (IDH-R);Índice de Desenvolvimento Humano Municipal (IDH)
1;Gávea;75,11;97,25;100,64;1796,1;0,835;0,982;1;0,939
2;Jardim Botânico;73,67;97,81;95,24;1620,82;0,811;0,97;1;0,927
3;Ipanema;74;96,98;93,95;1606,88;0,817;0,96;1;0,925
4;Leblon;73,67;97,49;92,23;1589,11;0,811;0,957;1;0,923
5;Humaitá;72,8;97,93;102,67;1422,01;0,797;0,986;0,985;0,923
6;Flamengo;72,94;98,25;103,5;1297,93;0,799;0,988;0,969;0,919
7;Laranjeiras;73,67;98,01;101,66;1212,77;0,811;0,987;0,958;0,919
8;Joá, Barra da Tijuca;72,9;96,86;91,83;1782,9;0,798;0,952;1;0,917
9;Lagoa;72,94;97,24;89,04;2277,53;0,799;0,945;1;0,915
10;Botafogo, Urca;74,09;96,82;95,29;1129,88;0,818;0,963;0,946;0,909
11;Jardim Guanabara;75,39;97,89;95,98;909;0,84;0,973;0,91;0,907
12;Leme;72,59;97,16;89,66;1307,33;0,793;0,947;0,971;0,903
13;Copacabana;72,38;97,56;91,05;1250,6;0,79;0,954;0,963;0,902
14;Maracanã;74,17;97,94;100,26;843,6;0,82;0,986;0,897;0,901
15;Méier;73,67;98,2;100,03;658,31;0,811;0,988;0,856;0,885
16;Glória;72,23;98,02;88,74;918,9;0,787;0,949;0,912;0,883
17;Grajaú;71,76;96,89;97,57;787,77;0,779;0,971;0,886;0,879
18;Tijuca, Alto da Boa Vista;70,58;96,48;95,74;838,29;0,76;0,962;0,896;0,873
19;Todos os Santos;72,92;98,09;95,72;574,31;0,799;0,973;0,833;0,868
20;Andaraí;71,76;96,55;89,33;644,69;0,779;0,941;0,853;0,858
21;Vila da Penha;72,12;98,03;94,24;491,56;0,785;0,968;0,807;0,853
22;Catete;71,76;95,01;85,47;639,09;0,779;0,918;0,851;0,85
23;Riachuelo;71,09;97,18;91,28;536,54;0,768;0,952;0,822;0,847
24;Moneró, Portuguesa;70,72;96,93;89,96;556,69;0,762;0,946;0,828;0,845
25;Cachambi;70,24;97,43;95,48;497,91;0,754;0,968;0,809;0,844
26;Freguesia (Jacarepaguá);70,62;96,08;87,76;584,57;0,76;0,933;0,836;0,843
27;Pechincha;70,47;97,12;87,99;554,56;0,758;0,941;0,827;0,842
28;Vidigal, São Conrado;67,38;91,62;74,09;1198,69;0,706;0,858;0,956;0,84
29;Vila Isabel;67,63;96,06;90,79;680,96;0,71;0,943;0,862;0,838
30;Campinho, Vila Valqueire;71,76;96,57;87,95;435,78;0,779;0,937;0,787;0,835
31;Anil;71,41;95,07;82,06;523,94;0,773;0,907;0,818;0,833
32;Centro;70,47;96,13;80,03;495,18;0,758;0,908;0,809;0,825
33;Higienópolis;69,02;96,98;89,12;400,62;0,734;0,944;0,773;0,817
34;Bonsucesso;70,62;93,37;82,81;446,47;0,76;0,898;0,791;0,817
35;Água Santa, Encantado;72,94;94,4;77,02;374,68;0,799;0,886;0,762;0,816
36;Vila Cosmos;72,59;97,12;79,28;312,31;0,793;0,912;0,732;0,812
37;Abolição;67,22;96,85;88,21;449,7;0,704;0,94;0,792;0,812
38;Cocotá, Bancários;69,51;94,64;85,94;407,38;0,742;0,917;0,776;0,812
39;Santa Teresa, Cosme Velho;68,6;94,1;75,47;540,84;0,727;0,879;0,823;0,81
40;Taquara;70,62;94,79;80,24;368,62;0,76;0,899;0,759;0,806
41;Engenho de Dentro;67,22;95,23;86,48;417,47;0,704;0,923;0,78;0,802
42;Rio Comprido;67,74;93,99;83,62;433,54;0,712;0,905;0,786;0,801
43;Ramos;69,02;96,48;80,6;367,02;0,734;0,912;0,759;0,801
44;Olaria;69,6;95,76;80,84;351,4;0,743;0,908;0,751;0,801
45;Lins de Vasconcelos;67,74;93,56;81,4;456,57;0,712;0,895;0,795;0,801
46;Engenho Novo;67,38;94,35;79,75;438,03;0,706;0,895;0,788;0,796
47;Praça Seca;67,74;94,19;86,27;366,78;0,712;0,915;0,758;0,795
48;Ribeira, Cacuia;68,19;95,28;82,39;359,9;0,72;0,91;0,755;0,795
49;Freguesia;68,06;93,93;78,75;410,25;0,718;0,889;0,777;0,794
50;Jacaré, Rocha, Sampaio;68,4;93,94;81,24;376,59;0,723;0,897;0,763;0,794
51;Engenho da Rainha;69,95;95,13;80,78;310,48;0,749;0,903;0,731;0,794
52;Zumbi, Pitangueiras, Praia da Bandeira;68,6;92,83;82,61;374,98;0,727;0,894;0,762;0,794
53;Quintino Bocaiúva;68,76;95,89;81,54;330,88;0,729;0,911;0,741;0,794
54;Cidade Nova, Praça da Bandeira;65,74;94,81;84;436,87;0,679;0,912;0,788;0,793
55;Oswaldo Cruz;69,6;95,68;83,18;290,23;0,743;0,915;0,719;0,793
56;Madureira;68,61;95,47;80,74;337,86;0,727;0,906;0,745;0,792
57;Piedade;67,38;96,06;82,44;355,52;0,706;0,915;0,753;0,792
58;Itanhangá;66,92;86,88;62,18;800,97;0,699;0,786;0,889;0,791
59;Deodoro, Vila Militar, Campo dos Afonsos, Jardim Sulacap;70,82;95,9;78,49;272,37;0,764;0,901;0,709;0,791
60;Pilares;69,74;95,72;80,1;294,62;0,746;0,905;0,722;0,791
61;Bento Ribeiro;69,6;95,87;81,49;280,98;0,743;0,911;0,714;0,789
62;Recreio dos Bandeirantes, Grumari;68,78;84,41;68,47;614,44;0,73;0,791;0,845;0,788
63;Tanque;67,74;94,19;78,63;353,53;0,712;0,89;0,752;0,785
64;Estácio;69,95;92,48;73,25;328,58;0,749;0,861;0,74;0,783
65;Penha Circular;66,57;95,05;81,69;345,12;0,693;0,906;0,748;0,782
66;Maria da Graça, Del Castilho;66,9;94,67;81,34;332,67;0,698;0,902;0,742;0,781
67;Brás de Pina;67,38;95,3;83,15;294,81;0,706;0,913;0,722;0,78
68;Jardim América;68,19;95,11;81,67;277,04;0,72;0,906;0,712;0,779
69;Jardim Carioca;66,68;94,12;75,11;359,83;0,695;0,878;0,755;0,776
70;Cascadura;67,74;94,11;78,3;302,19;0,712;0,888;0,726;0,776
71;Paquetá;68,19;91,89;75,01;332,42;0,72;0,863;0,742;0,775
72;Parque Anchieta;69,11;95,13;79,19;243,53;0,735;0,898;0,69;0,774
73;São Cristóvão, Vasco da Gama;66,65;93,82;77,28;324,48;0,694;0,883;0,738;0,772
74;Coelho Neto;68,69;95,33;76,88;247,99;0,728;0,892;0,693;0,771
75;Curicica;68,22;94,41;76,65;255,61;0,72;0,885;0,698;0,768
76;Tomás Coelho;66,6;94,51;84,03;252,46;0,693;0,91;0,696;0,767
77;Inhaúma;67,93;93,72;75,51;260,46;0,715;0,877;0,701;0,764
78;Turiaçu;67,93;93,92;74,5;263,45;0,715;0,874;0,703;0,764
79;Rocha Miranda;68,33;94,94;75,96;232,86;0,722;0,886;0,683;0,764
80;Tauá;66,62;89,95;77,97;322,59;0,694;0,86;0,737;0,763
81;Guadalupe;66,92;95,51;78,82;246,39;0,699;0,899;0,692;0,763
82;Benfica;68,6;91,4;71,98;269,77;0,727;0,849;0,707;0,761
83;Cavalcanti, Engenheiro Leal, Vaz Lobo;67,05;95,1;78,85;226,67;0,701;0,897;0,678;0,759
84;Penha;65,57;93,39;75,57;299,1;0,676;0,875;0,724;0,758
85;Pavuna;67,18;93,73;74,44;233,91;0,703;0,873;0,683;0,753
86;Campo Grande;65,77;93,31;77,54;252,69;0,679;0,881;0,696;0,752
87;Marechal Hermes;64,35;94,55;79,65;264,47;0,656;0,896;0,704;0,752
88;Saúde, Gamboa, Santo Cristo;66,92;92,04;70,67;269,06;0,699;0,849;0,707;0,752
89;Ricardo de Albuquerque;66,62;94,52;76,21;218,11;0,694;0,884;0,672;0,75
90;Realengo;65,79;94,19;76,39;237,95;0,68;0,883;0,686;0,749
91;Magalhães Bastos;66,13;93,91;74,11;229,96;0,685;0,873;0,681;0,746
92;Galeão, Cidade Universitária;64,61;92,87;76,24;260,33;0,66;0,873;0,701;0,745
93;Catumbi;64,93;92,58;76,94;250,59;0,666;0,874;0,695;0,745
94;Padre Miguel;67,3;93,28;70,79;212,23;0,705;0,858;0,667;0,743
95;Senador Vasconcelos;66,62;91,88;74,82;215,53;0,694;0,862;0,67;0,742
96;Bangu;65,64;93,01;74,43;217,91;0,677;0,868;0,672;0,739
97;Vista Alegre, Irajá;57,04;96,73;83,62;353,93;0,534;0,924;0,752;0,737
98;Mangueira, São Francisco Xavier;64,46;89,52;71,36;276,58;0,658;0,835;0,711;0,735
99;Honório Gurgel;64,69;94,03;70,92;225,3;0,662;0,863;0,677;0,734
100;Cordovil;64,46;93,49;73,64;218,69;0,658;0,869;0,672;0,733
101;Vicente de Carvalho;64,46;91,53;72,74;238,81;0,658;0,853;0,687;0,732
102;Anchieta;65,45;93,24;71,04;189,64;0,674;0,858;0,648;0,727
103;Jacarepaguá;64,92;86,09;66,03;282,48;0,665;0,794;0,715;0,725
104;Santíssimo;64,93;91,78;74,26;184,52;0,666;0,859;0,644;0,723
105;Senador Camará;64,32;90,31;67,96;188,38;0,655;0,829;0,647;0,71
106;Colégio;62,87;90,57;66,15;219,45;0,631;0,824;0,673;0,709
107;Camorim, Vargem Pequena, Vargem Grande;62,37;84,04;61,33;327,36;0,623;0,765;0,739;0,709
108;Sepetiba;63,67;90,67;65,54;193,12;0,645;0,823;0,651;0,706
109;Parada de Lucas;62,93;89,6;67,65;204,22;0,632;0,823;0,661;0,705
110;Cosmos;64,5;91,04;64,74;162,91;0,658;0,823;0,623;0,701
111;Gardênia Azul;63,19;86,26;71,13;196,17;0,637;0,812;0,654;0,701
112;Vigário Geral;62,51;92,28;66;176,96;0,625;0,835;0,637;0,699
113;Paciência;62,84;91,77;69,18;156,33;0,631;0,842;0,616;0,696
114;Inhoaíba;62,37;90,35;67,6;175,98;0,623;0,828;0,636;0,695
115;Cidade de Deus;62,51;90,34;65,16;174,08;0,625;0,819;0,634;0,693
116;Santa Cruz;62,49;90,26;66,16;170,16;0,625;0,822;0,63;0,692
117;Caju;64,93;82,73;64,06;187,79;0,666;0,765;0,647;0,692
118;Costa Barros;61,76;90,02;64,77;182,72;0,613;0,816;0,642;0,69
119;Barros Filho;64,03;87,27;64,94;157,4;0,65;0,798;0,617;0,689
120;Guaratiba, Barra de Guaratiba, Pedra de Guaratiba;62,37;87,55;64,59;168,54;0,623;0,799;0,629;0,683
121;Jacarezinho;62,32;86,87;64,61;157,13;0,622;0,794;0,617;0,678
122;Rocinha;65,15;81,49;54,47;170,57;0,669;0,725;0,631;0,675
123;Manguinhos;62,32;85,92;62,98;157,26;0,622;0,783;0,617;0,674
124;Maré;62,71;83,31;60,57;156,26;0,628;0,757;0,616;0,667
125;Complexo do Alemão;62,36;83,6;56,52;144,01;0,623;0,746;0,602;0,657
126;Acari, Parque Colúmbia;60,29;86,21;60,57;147,17;0,588;0,777;0,606;0,657
